Event,Timestamp,Ack Number,Sequence
Triple Duplicate,2020-04-21 16:34:02.798229,1,1581218
Triple Duplicate,2020-04-21 16:34:02.798233,1,1587058
Triple Duplicate,2020-04-21 16:34:02.798235,1,1591438
Triple Duplicate,2020-04-21 16:34:02.799432,1,1598738
Triple Duplicate,2020-04-21 16:34:02.799435,1,1603118
Triple Duplicate,2020-04-21 16:34:02.799438,1,1608958
Triple Duplicate,2020-04-21 16:34:02.799440,1,1611878
Triple Duplicate,2020-04-21 16:34:02.799443,1,1616258
Triple Duplicate,2020-04-21 16:34:02.799445,1,1619178
Triple Duplicate,2020-04-21 16:34:02.799448,1,1625018
Triple Duplicate,2020-04-21 16:34:02.799451,1,1629398
Triple Duplicate,2020-04-21 16:34:02.799454,1,1633778
Triple Duplicate,2020-04-21 16:34:02.799457,1,1638158
Triple Duplicate,2020-04-21 16:34:02.801000,1,1645458
Triple Duplicate,2020-04-21 16:34:02.801002,1,1649838
Triple Duplicate,2020-04-21 16:34:02.801003,1,1654218
Triple Duplicate,2020-04-21 16:34:02.801004,1,1657138
Triple Duplicate,2020-04-21 16:34:02.802828,1,1664438
Triple Duplicate,2020-04-21 16:34:02.802830,1,1668818
Triple Duplicate,2020-04-21 16:34:02.802831,1,1673198
Triple Duplicate,2020-04-21 16:34:02.802832,1,1677578
Triple Duplicate,2020-04-21 16:34:02.802834,1,1683418
Triple Duplicate,2020-04-21 16:34:02.802835,1,1686338
Triple Duplicate,2020-04-21 16:34:02.802837,1,1690718
Triple Duplicate,2020-04-21 16:34:02.802838,1,1695098
Triple Duplicate,2020-04-21 16:34:02.803072,1,1699478
Triple Duplicate,2020-04-21 16:34:02.803074,1,1703858
Triple Duplicate,2020-04-21 16:34:02.805636,1,1711158
Triple Duplicate,2020-04-21 16:34:02.806281,1,1716998
Triple Duplicate,2020-04-21 16:34:02.806282,1,1721378
Triple Duplicate,2020-04-21 16:34:02.806283,1,1725758
Triple Duplicate,2020-04-21 16:34:02.806285,1,1730138
Triple Duplicate,2020-04-21 16:34:02.806286,1,1734518
Triple Duplicate,2020-04-21 16:34:02.810176,1,1740358
Triple Duplicate,2020-04-21 16:34:02.810178,1,1744738
Triple Duplicate,2020-04-21 16:34:02.810181,1,1749118
Triple Duplicate,2020-04-21 16:34:02.810183,1,1753498
Triple Duplicate,2020-04-21 16:34:02.810185,1,1757878
Triple Duplicate,2020-04-21 16:34:02.812678,1,1765178
Triple Duplicate,2020-04-21 16:34:02.812680,1,1769558
Triple Duplicate,2020-04-21 16:34:02.812682,1,1773938
Triple Duplicate,2020-04-21 16:34:02.919292,1,1781238
Triple Duplicate,2020-04-21 16:34:02.919294,1,1785618
Triple Duplicate,2020-04-21 16:34:02.919297,1,1789998
Triple Duplicate,2020-04-21 16:34:02.919867,1,1795838
Triple Duplicate,2020-04-21 16:34:02.919869,1,1800218
Triple Duplicate,2020-04-21 16:34:02.919871,1,1804598
Triple Duplicate,2020-04-21 16:34:02.924119,1,1810438
Triple Duplicate,2020-04-21 16:34:02.924121,1,1814818
Triple Duplicate,2020-04-21 16:34:02.924122,1,1817738
Triple Duplicate,2020-04-21 16:34:02.924124,1,1823578
Triple Duplicate,2020-04-21 16:34:02.924127,1,1827958
Triple Duplicate,2020-04-21 16:34:02.924129,1,1832338
Triple Duplicate,2020-04-21 16:34:02.924131,1,1836718
Triple Duplicate,2020-04-21 16:34:02.924133,1,1841098
Triple Duplicate,2020-04-21 16:34:02.924135,1,1845478
Triple Duplicate,2020-04-21 16:34:02.924137,1,1849858
Triple Duplicate,2020-04-21 16:34:02.924635,1,1857158
Triple Duplicate,2020-04-21 16:34:02.924637,1,1861538
Triple Duplicate,2020-04-21 16:34:02.924639,1,1865918
Triple Duplicate,2020-04-21 16:34:02.924641,1,1870298
Triple Duplicate,2020-04-21 16:34:02.924643,1,1874678
Triple Duplicate,2020-04-21 16:34:02.924645,1,1879058
Triple Duplicate,2020-04-21 16:34:02.924647,1,1883438
Triple Duplicate,2020-04-21 16:34:02.924649,1,1887818
Triple Duplicate,2020-04-21 16:34:02.924651,1,1890738
Triple Duplicate,2020-04-21 16:34:02.924653,1,1896578
Triple Duplicate,2020-04-21 16:34:02.925265,1,1900958
Triple Duplicate,2020-04-21 16:34:02.925267,1,1905338
Triple Duplicate,2020-04-21 16:34:02.925269,1,1909718
Triple Duplicate,2020-04-21 16:34:02.925272,1,1914098
Triple Duplicate,2020-04-21 16:34:02.925274,1,1918478
Triple Duplicate,2020-04-21 16:34:02.925807,1,1922858
Triple Duplicate,2020-04-21 16:34:02.925809,1,1927238
Triple Duplicate,2020-04-21 16:34:02.925812,1,1931618
Triple Duplicate,2020-04-21 16:34:02.925813,1,1935998
Triple Duplicate,2020-04-21 16:34:02.925815,1,1938918
Triple Duplicate,2020-04-21 16:34:02.925818,1,1944758
Triple Duplicate,2020-04-21 16:34:02.926381,1,1952058
Triple Duplicate,2020-04-21 16:34:02.926383,1,1956438
Triple Duplicate,2020-04-21 16:34:02.926386,1,1960818
Triple Duplicate,2020-04-21 16:34:02.926388,1,1965198
Triple Duplicate,2020-04-21 16:34:02.926444,1,1969578
Triple Duplicate,2020-04-21 16:34:02.932266,1,1973958
Triple Duplicate,2020-04-21 16:34:02.932267,1,1979798
Triple Duplicate,2020-04-21 16:34:02.932268,1,1984178
Triple Duplicate,2020-04-21 16:34:03.044918,1,1992938
Triple Duplicate,2020-04-21 16:34:03.044920,1,1997318
Triple Duplicate,2020-04-21 16:34:03.044921,1,2001698
Triple Duplicate,2020-04-21 16:34:03.047995,1,2007538
Triple Duplicate,2020-04-21 16:34:03.047997,1,2011918
Triple Duplicate,2020-04-21 16:34:03.047999,1,2016298
Triple Duplicate,2020-04-21 16:34:03.048592,1,2022138
Triple Duplicate,2020-04-21 16:34:03.048593,1,2026518
Triple Duplicate,2020-04-21 16:34:03.048595,1,2030898
Triple Duplicate,2020-04-21 16:34:03.048596,1,2035278
Triple Duplicate,2020-04-21 16:34:03.048598,1,2038198
Triple Duplicate,2020-04-21 16:34:03.048600,1,2044038
Triple Duplicate,2020-04-21 16:34:03.050174,1,2051338
